Summary,Temperature (C),Humidity,Wind Speed (km/h)
Partly Cloudy,30.04444444,0.26,9.2897
Partly Cloudy,31.11111111,0.24,3.4454
Partly Cloudy,31,0.23,2.4633
Partly Cloudy,31.06111111,0.24,9.3219
Partly Cloudy,28.81666667,0.28,5.1198
Partly Cloudy,24.98888889,0.41,1.4168
Partly Cloudy,22.71111111,0.4,3.2844
Partly Cloudy,21.50555556,0.43,3.22
Partly Cloudy,20.98888889,0.54,3.2361
Partly Cloudy,18.8,0.54,3.1878
Partly Cloudy,18.36666667,0.64,3.5581
Clear,18.81111111,0.73,5.8604
Partly Cloudy,17.76666667,0.68,2.4311
Partly Cloudy,17.30555556,0.68,6.44
Clear,18.33333333,0.81,6.44
Clear,18.75555556,0.8,6.9713
Clear,19.3,0.78,7.8729
Clear,19.92777778,0.76,9.1126
Clear,20.62222222,0.73,10.6421
Partly Cloudy,21.35555556,0.7,12.3487
Partly Cloudy,22.10555556,0.67,14.1197
Partly Cloudy,22.84444444,0.63,15.8585
Partly Cloudy,23.54444444,0.6,17.4685
Mostly Cloudy,24.18333333,0.58,18.8692
Mostly Cloudy,24.72777778,0.55,19.9479
Mostly Cloudy,25.16666667,0.54,20.6402
Mostly Cloudy,26.45555556,0.54,14.2324
Partly Cloudy,26.97777778,0.5,12.2521
Partly Cloudy,27.01666667,0.48,11.0768
Partly Cloudy,24.4,0.53,10.3362
Clear,22.7,0.53,15.9873
Overcast,22.59444444,0.56,17.4202
Overcast,21.56666667,0.55,16.7279
Overcast,20.13888889,0.55,15.7941
Clear,18.88888889,0.56,14.49
Mostly Cloudy,16.76666667,0.76,10.1752
Partly Cloudy,16.26666667,0.73,7.1645
Partly Cloudy,16.16111111,0.67,6.3756
Mostly Cloudy,17.15,0.71,13.2986
Overcast,16.06111111,0.72,12.4453
Mostly Cloudy,15.99444444,0.73,12.3487
Overcast,16.02777778,0.67,14.9408
Mostly Cloudy,16.08888889,0.68,12.4614
Mostly Cloudy,17.77777778,0.61,8.2271
Partly Cloudy,21.93333333,0.51,10.0786
Partly Cloudy,22.7,0.45,11.0929
Partly Cloudy,24.9,0.4,9.3702
Mostly Cloudy,26.09444444,0.39,6.8103
Mostly Cloudy,25.96666667,0.4,3.1878
Mostly Cloudy,27.47222222,0.36,4.508
Mostly Cloudy,26.88333333,0.41,2.898
Overcast,25.66111111,0.42,14.2807
Overcast,21.84444444,0.57,20.3504
Partly Cloudy,19.40555556,0.67,17.227
Mostly Cloudy,18.67777778,0.67,16.8406
Mostly Cloudy,18.15,0.72,17.0499
Mostly Cloudy,17.65555556,0.75,16.583
Clear,17.62222222,0.54,3.1556
Clear,15.11666667,0.6,3.22
Mostly Cloudy,17.64444444,0.75,10.7065
Clear,15.43888889,0.65,3.1878
Clear,15.37222222,0.65,6.1019
Clear,14.83888889,0.71,3.8962
Clear,13.75555556,0.72,4.7334
Clear,17.55555556,0.61,9.2897
Clear,19.94444444,0.56,10.304
Clear,23.86666667,0.42,12.1877
Clear,26.20555556,0.36,10.4167
Clear,27.53333333,0.34,12.075
Clear,28.88888889,0.29,12.4614
Partly Cloudy,28.93333333,0.27,7.9051
Partly Cloudy,29.98333333,0.27,9.5151
Mostly Cloudy,31.06111111,0.23,4.7495
Mostly Cloudy,31.06666667,0.23,7.1001
Partly Cloudy,30.00555556,0.26,8.1466
Mostly Cloudy,29.83333333,0.25,4.3309
Mostly Cloudy,27.43333333,0.3,4.7978
Breezy and Mostly Cloudy,24.61111111,0.48,33.0533
Overcast,19.79444444,0.65,22.3146
Overcast,19.77222222,0.65,23.8441
Overcast,18.77222222,0.73,16.0034
Mostly Cloudy,17.06111111,0.76,10.9158
Mostly Cloudy,16.6,0.79,10.6099
Mostly Cloudy,16.08888889,0.81,14.168
Mostly Cloudy,17.03888889,0.76,6.3595
Mostly Cloudy,16.55,0.79,6.1824
Mostly Cloudy,15.63333333,0.92,13.4596
Overcast,16.03888889,0.87,9.3541
Partly Cloudy,16.01666667,0.87,11.0768
Mostly Cloudy,16.18888889,0.87,12.5741
Mostly Cloudy,16.11111111,0.87,12.8317
Mostly Cloudy,17.15,0.81,12.558
Partly Cloudy,17.95,0.78,13.5562
Overcast,19.83888889,0.69,13.9587
Mostly Cloudy,20.87777778,0.64,17.5973
Mostly Cloudy,21.21111111,0.67,20.8495
Partly Cloudy,22.03333333,0.6,17.4202
Partly Cloudy,22.15,0.59,20.0928
Partly Cloudy,22.11111111,0.57,13.8621
Mostly Cloudy,21.01666667,0.6,15.4882
Mostly Cloudy,19.88333333,0.64,12.6224
Mostly Cloudy,19,0.68,16.261
Overcast,17.70555556,0.74,12.5419
Mostly Cloudy,17.68333333,0.74,17.1143
Mostly Cloudy,17.29444444,0.72,16.9533
Mostly Cloudy,16.64444444,0.73,14.3934
Mostly Cloudy,16.13333333,0.79,16.9855
Overcast,16.7,0.68,7.2772
Mostly Cloudy,16.01666667,0.84,11.0124
Mostly Cloudy,15.95,0.85,13.9587
Mostly Cloudy,15.5,0.87,13.8299
Partly Cloudy,13.77222222,0.84,12.2682
Partly Cloudy,13.84444444,0.83,8.1305
Partly Cloudy,15.12777778,0.8,12.2038
Partly Cloudy,17.13333333,0.68,9.6117
Partly Cloudy,18.87222222,0.57,8.3076
Partly Cloudy,20.2,0.52,5.2647
Mostly Cloudy,22.17777778,0.49,8.9677
Mostly Cloudy,22.17777778,0.43,9.0965
Overcast,22.23333333,0.43,8.7906
Overcast,22.71111111,0.37,4.4114
Overcast,22.73333333,0.37,11.0929
Overcast,22.08888889,0.37,9.8854
Overcast,22.08333333,0.39,8.1949
Overcast,20.99444444,0.43,11.1573
Overcast,19.80555556,0.47,10.3845
Overcast,18.84444444,0.53,7.9212
Overcast,18.31111111,0.55,10.787
Overcast,18.28333333,0.59,10.465
Mostly Cloudy,18.26666667,0.74,14.2163
Mostly Cloudy,17.73333333,0.78,13.9909
Partly Cloudy,14.1,0.77,11.3022
Mostly Cloudy,17.68888889,0.76,14.007
Mostly Cloudy,17.68888889,0.76,19.7708
Mostly Cloudy,17.17222222,0.78,16.0517
Overcast,17.15,0.81,16.9694
Overcast,16.18333333,0.81,16.9211
Overcast,16.26666667,0.82,15.0535
Overcast,17.31666667,0.75,14.1358
Mostly Cloudy,17.93888889,0.72,15.3594
Mostly Cloudy,18.86111111,0.67,16.6474
Partly Cloudy,21.20555556,0.53,15.4399
Partly Cloudy,22.7,0.49,13.8621
Mostly Cloudy,22.50555556,0.5,8.2915
Mostly Cloudy,22.33333333,0.49,10.8836
Partly Cloudy,19.11111111,0.64,12.2038
Partly Cloudy,18.18333333,0.7,18.9497
Partly Cloudy,17.62777778,0.7,12.2199
Partly Cloudy,18.04444444,0.68,8.0822
Partly Cloudy,16.28888889,0.77,2.1252
Partly Cloudy,14.14444444,0.81,4.3953
Partly Cloudy,13.5,0.85,6.1985
Partly Cloudy,14.96111111,0.72,6.6332
Mostly Cloudy,14.35555556,0.75,6.3112
Partly Cloudy,13.4,0.74,10.5777
Partly Cloudy,17.37222222,0.77,10.7226
Partly Cloudy,14.49444444,0.69,16.9694
Partly Cloudy,15.00555556,0.68,16.8084
Mostly Cloudy,14.92777778,0.71,16.5347
Mostly Cloudy,14.98333333,0.68,14.0231
Mostly Cloudy,15.02777778,0.72,13.9426
Mostly Cloudy,16.81111111,0.7,15.3111
Partly Cloudy,17.76666667,0.65,15.7136
Partly Cloudy,19.89444444,0.61,20.2377
Partly Cloudy,20.82777778,0.58,22.6044
Partly Cloudy,22.17777778,0.53,20.3343
Partly Cloudy,22.82777778,0.51,21.8477
Partly Cloudy,24.71111111,0.46,17.5168
Mostly Cloudy,26.08888889,0.44,14.3934
Mostly Cloudy,26.16111111,0.42,11.431
Mostly Cloudy,25.96666667,0.43,8.5974
Partly Cloudy,26.08888889,0.44,8.4847
Partly Cloudy,25.02777778,0.45,3.6708
Partly Cloudy,22.36111111,0.56,4.3953
Partly Cloudy,21.16111111,0.59,2.4311
Partly Cloudy,20.58333333,0.6,3.4454
Partly Cloudy,19.45555556,0.67,6.44
Partly Cloudy,20.43888889,0.64,14.0231
Partly Cloudy,18.91111111,0.73,3.8318
Clear,17.72777778,0.84,7.6797
Partly Cloudy,17.75555556,0.73,14.1519
Clear,17.2,0.75,14.0231
Clear,16.52222222,0.8,13.7816
Partly Cloudy,16.11666667,0.81,14.0875
Partly Cloudy,17.71666667,0.73,15.5365
Partly Cloudy,18.8,0.71,17.0338
Partly Cloudy,22.17777778,0.59,14.168
Partly Cloudy,24.91111111,0.5,15.8263
Partly Cloudy,26.88888889,0.43,12.3648
Partly Cloudy,28.77222222,0.37,14.4095
Partly Cloudy,29.88333333,0.34,15.7619
Partly Cloudy,29.78333333,0.35,10.3362
Mostly Cloudy,29.00555556,0.35,17.1626
Mostly Cloudy,23.39444444,0.61,10.7226
Mostly Cloudy,24,0.69,10.7548
Mostly Cloudy,25.10555556,0.61,5.8282
Mostly Cloudy,25.58333333,0.55,3.9445
Mostly Cloudy,24.02222222,0.74,2.8819
Mostly Cloudy,22.11111111,0.82,0
Mostly Cloudy,21.46666667,0.83,6.44
Partly Cloudy,19.82777778,0.89,3.6225
Partly Cloudy,19.26111111,0.89,6.44
Partly Cloudy,17.66666667,0.92,6.44
Partly Cloudy,17.66666667,0.89,8.6618
Partly Cloudy,16.07222222,0.89,8.9355
Clear,16.09444444,0.89,4.8944
Partly Cloudy,15.73333333,0.92,9.5956
Partly Cloudy,15.02777778,0.83,8.1949
Mostly Cloudy,17.16111111,0.87,3.4776
Mostly Cloudy,19.00555556,0.81,7.9212
Mostly Cloudy,22.27222222,0.64,4.8461
Mostly Cloudy,25.07222222,0.54,8.0339
Mostly Cloudy,26.11666667,0.57,8.6135
Mostly Cloudy,28.88888889,0.4,9.1609
Mostly Cloudy,30,0.35,10.6099
Mostly Cloudy,30.72777778,0.34,2.9785
Mostly Cloudy,30.82777778,0.33,7.9695
Clear,31.02777778,0.3,9.6117
Clear,29.81111111,0.32,7.8085
Clear,27.67222222,0.43,10.2074
Clear,26.10555556,0.44,13.8138
Mostly Cloudy,23.96666667,0.5,14.9086
Mostly Cloudy,22.22222222,0.55,8.7745
Partly Cloudy,20.99444444,0.58,3.0429
Partly Cloudy,19.47222222,0.69,5.4901
Partly Cloudy,18.33888889,0.73,3.2361
Clear,17.15555556,0.78,2.7048
Clear,16.45,0.86,2.1735
Clear,15.48888889,0.84,3.3005
Clear,15.51111111,0.84,6.5849
Clear,14.32222222,0.87,6.0214
Partly Cloudy,15.05,0.83,7.567
Partly Cloudy,17.66666667,0.74,4.7495
Partly Cloudy,22.06666667,0.6,1.6583
Partly Cloudy,25.90555556,0.48,4.8461
Partly Cloudy,27.73333333,0.41,4.7978
Partly Cloudy,28.91111111,0.36,4.3953
Partly Cloudy,31.08333333,0.32,4.2826
Partly Cloudy,32.13333333,0.28,7.406
Partly Cloudy,32.17777778,0.28,2.9946
Partly Cloudy,32.68888889,0.25,7.2611
Partly Cloudy,32.24444444,0.24,3.6064
Mostly Cloudy,31.02222222,0.26,4.025
Partly Cloudy,29.98333333,0.34,13.6206
Mostly Cloudy,27.87222222,0.38,10.8192
Mostly Cloudy,26.16111111,0.42,0.3059
Mostly Cloudy,24.91111111,0.48,9.6117
Mostly Cloudy,24.26111111,0.49,6.0536
Mostly Cloudy,22.64444444,0.54,6.1019
Mostly Cloudy,21.05,0.62,3.1395
Mostly Cloudy,19.42777778,0.66,2.8175
Partly Cloudy,19.61111111,0.8,3.7835
Mostly Cloudy,19.36111111,0.78,3.1234
Mostly Cloudy,18.27222222,0.73,3.3649
Partly Cloudy,18.67777778,0.75,0.2093
Partly Cloudy,17.22777778,0.81,3.1878
Partly Cloudy,19.93888889,0.73,3.3488
Mostly Cloudy,22.21111111,0.69,2.9141
Mostly Cloudy,25.97777778,0.54,4.508
Partly Cloudy,28.79444444,0.4,9.6439
Mostly Cloudy,29.68333333,0.37,4.4597
Mostly Cloudy,31.13888889,0.33,7.6475
Partly Cloudy,32.15,0.3,4.3148
Mostly Cloudy,31.3,0.33,18.1125
Mostly Cloudy,32.22222222,0.31,13.4918
Mostly Cloudy,30.01111111,0.35,10.0142
Partly Cloudy,30.81111111,0.35,10.8514
Mostly Cloudy,30.98888889,0.36,15.3755
Mostly Cloudy,27.81666667,0.41,13.3952
Partly Cloudy,25.28888889,0.5,5.1037
Partly Cloudy,23.86111111,0.58,8.0983
Partly Cloudy,22.68888889,0.6,3.1556
Partly Cloudy,23.15555556,0.58,12.1555
Clear,-1.616666667,0.92,13.9909
Foggy,0.866666667,0.9,9.2736
Partly Cloudy,-2.011111111,0.92,10.948
Mostly Cloudy,-1.477777778,0.88,10.8997
Mostly Cloudy,-0.411111111,0.89,6.9552
Mostly Cloudy,0.094444444,0.85,7.5187
Mostly Cloudy,0.094444444,0.92,7.7602
Overcast,0.094444444,0.92,9.7083
Foggy,0.094444444,0.92,10.8675
Overcast,1.161111111,0.85,3.2522
Overcast,2.344444444,0.85,9.5312
Overcast,2.455555556,0.84,11.0124
Mostly Cloudy,4.144444444,0.81,12.8478
Partly Cloudy,5.277777778,0.75,9.6278
Partly Cloudy,5.3,0.81,13.0249
Partly Cloudy,4.211111111,0.88,11.0446
Foggy,3.188888889,0.89,9.7083
Foggy,2.433333333,0.91,11.0768
Foggy,2.827777778,0.95,10.9158
Foggy,2.677777778,0.96,10.5133
Foggy,2.777777778,0.89,11.0124
Foggy,1.211111111,0.89,5.5545
Foggy,1.138888889,0.92,10.1913
Foggy,1.116666667,0.92,10.6421
Foggy,3.983333333,0.92,5.9248
Overcast,4.983333333,0.9,7.9051
Foggy,4.488888889,0.89,7.3577
Foggy,4.416666667,0.89,6.4239
Foggy,4.938888889,0.9,12.3004
Overcast,6.011111111,0.8,3.5581
Overcast,5,0.86,9.7405
Overcast,5.933333333,0.81,12.4453
Overcast,6.061111111,0.86,9.7083
Overcast,6.061111111,0.87,9.4024
Overcast,7.044444444,0.87,8.1305
Overcast,7.172222222,0.86,8.1305
Overcast,7.172222222,0.86,4.6529
Overcast,7.161111111,0.87,7.3738
Overcast,7.172222222,0.86,4.2987
Foggy,6.111111111,0.93,4.186
Foggy,6.016666667,0.94,9.4507
Foggy,6.061111111,0.93,4.6368
Foggy,6.061111111,0.93,7.9373
Foggy,6.061111111,0.93,12.9283
Overcast,6.111111111,0.93,11.3827
Overcast,5.583333333,0.93,14.4095
Overcast,5.483333333,0.94,14.651
Overcast,5.527777778,0.89,14.4578
Overcast,5,0.89,14.3129
Overcast,4.505555556,0.96,4.5402
Overcast,4.472222222,0.92,6.6493
Overcast,4.472222222,0.92,11.27
Overcast,4.55,0.93,11.8657
Overcast,5,0.86,8.2593
Overcast,4.977777778,0.87,9.7888
Overcast,5,0.88,12.4453
Overcast,5,0.86,9.3058
Overcast,5,0.86,9.5795
Overcast,5.016666667,0.88,5.8282
Overcast,5.022222222,0.86,7.7602
Overcast,5.022222222,0.86,10.5133
Overcast,5.05,0.93,9.4668
Foggy,5,0.93,4.7012
Foggy,5,0.93,2.9302
Overcast,4.983333333,0.93,3.8318
Foggy,4.977777778,0.93,4.7012
Foggy,4.977777778,0.93,7.889
Foggy,4.983333333,0.93,7.567
Foggy,4.927777778,0.93,7.7924
Foggy,4.927777778,0.93,6.5527
Foggy,4.938888889,0.94,6.2629
Foggy,4.394444444,0.96,6.2468
Foggy,4.394444444,0.96,10.8031
Mostly Cloudy,3.994444444,0.82,17.7261
Overcast,4.444444444,0.96,6.3112
Overcast,4.444444444,0.96,6.5527
Foggy,4.488888889,0.96,6.6976
Overcast,4.95,0.93,9.499
Overcast,4.95,0.86,8.0983
Foggy,4.916666667,0.88,7.7441
Foggy,4.927777778,0.87,9.4185
Overcast,5,0.93,11.0929
Foggy,5.033333333,0.94,10.0786
Overcast,5.05,0.93,11.1895
Mostly Cloudy,6.138888889,0.8,12.6224
Mostly Cloudy,6.044444444,0.87,11.4149
Overcast,6.088888889,0.86,11.1734
Overcast,6.088888889,0.86,8.2271
Overcast,6,0.87,5.8604
Overcast,6.038888889,0.86,7.9695
Overcast,5.022222222,0.93,7.9695
Overcast,5.066666667,0.93,10.7387
Overcast,5.022222222,0.93,9.5956
Overcast,5,0.89,6.8264
Overcast,4.905555556,0.9,10.9158
Overcast,4.927777778,0.86,14.3773
Overcast,4.394444444,0.82,17.3719
Mostly Cloudy,-1.033333333,0.75,10.2235
Mostly Cloudy,3.327777778,0.77,24.7296
Mostly Cloudy,3.305555556,0.74,20.3021
Mostly Cloudy,2.355555556,0.77,19.0946
Mostly Cloudy,1.25,0.78,14.1358
Partly Cloudy,1.127777778,0.78,16.744
Partly Cloudy,1.111111111,0.79,16.5347
Mostly Cloudy,1.061111111,0.82,17.4202
Mostly Cloudy,2.75,0.76,17.1304
Partly Cloudy,3.738888889,0.72,19.803
Mostly Cloudy,5,0.66,25.2126
Mostly Cloudy,5,0.7,20.6241
Mostly Cloudy,5.016666667,0.7,17.2592
Mostly Cloudy,4.95,0.65,20.3182
Mostly Cloudy,2.777777778,0.7,17.5329
Mostly Cloudy,2.422222222,0.72,13.9587
Mostly Cloudy,2.1,0.47,19.9479
Partly Cloudy,1.127777778,0.54,20.7529
Partly Cloudy,0.194444444,0.59,17.2431
Partly Cloudy,-0.005555556,0.58,17.2592
Clear,-0.533333333,0.61,14.1036
Clear,-1.888888889,0.7,14.6671
Mostly Cloudy,-1.622222222,0.69,14.0875
Partly Cloudy,-2.177777778,0.69,11.1734
Partly Cloudy,-4.427777778,0.81,9.6278
Mostly Cloudy,-2.2,0.72,16.7923
Mostly Cloudy,-1.694444444,0.69,14.4578
Mostly Cloudy,-2.127777778,0.73,10.787
Overcast,-1.161111111,0.75,20.5597
Overcast,-2.25,0.75,15.8585
Partly Cloudy,-2.288888889,0.77,15.3916
Partly Cloudy,-2.2,0.69,15.7458
Partly Cloudy,-1.111111111,0.63,24.9872
Partly Cloudy,-1.016666667,0.68,23.9246
Mostly Cloudy,-1.044444444,0.68,24.2144
Mostly Cloudy,-0.094444444,0.64,23.7958
Overcast,-0.922222222,0.73,24.2627
Foggy,-2.2,0.88,16.2127
Overcast,-2.2,0.95,23.345
Partly Cloudy,-2.061111111,0.82,13.041
Partly Cloudy,-2.733333333,0.79,12.8156
Partly Cloudy,-2.827777778,0.72,11.1734
Partly Cloudy,-3.905555556,0.81,10.948
Partly Cloudy,-3.888888889,0.79,11.3022
Partly Cloudy,-5.388888889,0.88,11.4471
Partly Cloudy,-4.494444444,0.83,14.2163
Partly Cloudy,-3.961111111,0.78,14.49
Partly Cloudy,-4.538888889,0.78,14.3451
Mostly Cloudy,-2.316666667,0.86,16.4059
Partly Cloudy,-4.561111111,0.81,14.168
Mostly Cloudy,-4.005555556,0.81,17.4524
Mostly Cloudy,-3.7,0.81,14.2324
Overcast,-2.961111111,0.72,20.3665
Overcast,-2.961111111,0.72,23.3289
Overcast,-2.905555556,0.74,20.0767
Overcast,-2.311111111,0.75,20.0767
Overcast,-2.85,0.85,21.8155
Foggy,-2.244444444,0.87,18.2252
Foggy,-2.244444444,0.88,21.6706
Foggy,-2.222222222,0.95,20.1572
Foggy,-1.272222222,0.89,16.5025
Overcast,-1.155555556,0.88,11.3666
Mostly Cloudy,-1.133333333,0.92,17.1948
Partly Cloudy,-1.983333333,0.89,8.533
Mostly Cloudy,-2.611111111,0.92,5.5545
Clear,-3.633333333,0.91,8.5491
Clear,-4.533333333,0.92,9.0965
Partly Cloudy,-4.772222222,0.85,12.7995
Partly Cloudy,-4.833333333,0.92,14.2968
Partly Cloudy,-7.133333333,0.89,6.7781
Mostly Cloudy,-5.783333333,0.88,9.7888
Mostly Cloudy,-2.727777778,0.88,11.2539
Overcast,-2.066666667,0.89,10.6743
Partly Cloudy,-2.288888889,0.81,16.9211
Mostly Cloudy,-3.216666667,0.85,14.1519
Mostly Cloudy,-1.894444444,0.83,16.1644
Mostly Cloudy,-2.244444444,0.88,13.8782
Mostly Cloudy,-2.244444444,0.96,9.5795
Overcast,-2.3,0.96,2.3506
Foggy,-2.222222222,0.96,9.5956
Foggy,-1.688888889,0.92,6.7137
Foggy,-1.15,0.93,11.0768
Foggy,-1.138888889,0.92,11.1734
Overcast,-1.116666667,0.92,12.558
Overcast,-0.955555556,0.92,11.7852
Overcast,-1.138888889,0.92,12.5097
Overcast,-1.138888889,0.88,9.3863
Overcast,-1.1,0.89,10.2074
Overcast,-1.161111111,0.88,5.0393
Overcast,-1.183333333,0.89,4.7656
Overcast,-1.183333333,0.88,9.5312
Overcast,-1.183333333,0.88,10.8192
Overcast,-1.688888889,0.88,10.7065
Overcast,-1.688888889,0.88,6.118
Overcast,-1.688888889,0.88,10.787
Overcast,-1.688888889,0.88,10.787
Mostly Cloudy,-3.244444444,0.79,13.4274
Overcast,-1.716666667,0.88,14.0231
Overcast,-1.738888889,0.88,14.0231
Overcast,-2.1,0.89,10.8192
Overcast,-2.244444444,0.81,12.8639
Overcast,-2.316666667,0.81,12.2843
Overcast,-2.238888889,0.82,9.7888
Overcast,-2.266666667,0.81,8.2593
Overcast,-2.244444444,0.81,10.9319
Overcast,-2.111111111,0.82,11.27
Overcast,-2.2,0.81,11.0607
Overcast,-2.177777778,0.81,9.5312
Mostly Cloudy,-1.972222222,0.82,12.5419
Overcast,-2.155555556,0.75,10.7548
Overcast,-2.155555556,0.75,13.5401
Overcast,-2.55,0.79,12.4292
Overcast,-2.755555556,0.78,13.7977
Mostly Cloudy,-2.805555556,0.78,10.8836
Mostly Cloudy,-2.783333333,0.8,11.9945
Mostly Cloudy,-2.777777778,0.78,9.3702
Overcast,-2.777777778,0.81,10.6904
Mostly Cloudy,-2.761111111,0.8,10.2879
Mostly Cloudy,-3.333333333,0.79,10.6582
Mostly Cloudy,-3.355555556,0.79,10.6421
Foggy,-7.516666667,0.91,3.542
Overcast,-3.333333333,0.79,10.4006
Overcast,-3.355555556,0.79,10.7548
Overcast,-3.305555556,0.8,6.5527
Overcast,-2.85,0.72,7.5509
Mostly Cloudy,-3.866666667,0.84,7.728
Mostly Cloudy,-3.983333333,0.85,9.2253
Mostly Cloudy,-3.983333333,0.85,8.05
Mostly Cloudy,-2.85,0.79,4.9105
Mostly Cloudy,-1.316666667,0.71,5.4901
Mostly Cloudy,-1.183333333,0.7,4.7978
Partly Cloudy,-0.138888889,0.64,7.6636
Partly Cloudy,-0.961111111,0.69,11.0929
Partly Cloudy,-1.088888889,0.69,7.8407
Partly Cloudy,-2.177777778,0.7,8.9838
Partly Cloudy,-3.572222222,0.75,4.9427
Partly Cloudy,-4.05,0.84,0
Clear,-6.25,0.88,0
Clear,-5.933333333,0.89,4.4919
Foggy,-7.522222222,0.88,3.22
Foggy,-8.083333333,0.92,3.22
Foggy,-7.255555556,0.89,3.703
Foggy,-8.122222222,0.88,3.22
Foggy,-8.677777778,0.84,3.22
Foggy,-5.305555556,0.92,6.8264
Foggy,-8.7,0.88,3.1717
Foggy,-9.166666667,0.88,3.22
Foggy,-10.03888889,0.88,3.4132
Foggy,-10.15555556,0.92,4.83
Clear,-9.183333333,0.84,2.9785
Foggy,-8.883333333,0.93,0.805
Foggy,-8.094444444,0.84,0
Foggy,-7.977777778,0.84,3.22
Foggy,-6.877777778,0.89,3.4454
Foggy,-6.138888889,0.92,0
Foggy,-5.077777778,0.92,3.22
Foggy,-2.822222222,0.91,4.6207
Foggy,-4.033333333,0.92,4.8944
Foggy,-5.05,0.92,7.6153
Foggy,-5.722222222,0.89,6.6654
Foggy,-7.088888889,0.88,12.2038
Foggy,-6.094444444,0.89,9.1931
Foggy,-5.788888889,0.93,9.7405
Foggy,-6.044444444,0.88,9.3863
Foggy,-6.066666667,0.88,6.279
Foggy,-5.394444444,0.9,6.7298
Foggy,-5.533333333,0.92,6.44
Foggy,1.116666667,0.92,6.6493
Mostly Cloudy,2.761111111,0.9,12.5097
Foggy,0.577777778,0.9,10.9319
Foggy,0.027777778,0.89,6.1502
Foggy,-0.372222222,0.93,9.8854
Foggy,-1.038888889,0.92,7.7441
Foggy,-1.022222222,0.92,5.0876
Foggy,-0.855555556,0.93,8.0339
Foggy,0.044444444,0.92,9.66
Foggy,1.133333333,0.92,7.3416
Foggy,2.172222222,0.86,4.9749
Foggy,2.333333333,0.92,8.9194
Foggy,2.955555556,0.95,14.9086
Foggy,4,0.9,10.7226
Foggy,4.122222222,0.88,9.1931
Foggy,4.094444444,0.89,7.6958
Foggy,3.216666667,0.89,7.3738
Foggy,2.888888889,0.89,7.9695
Foggy,2.816666667,0.89,12.5419
Foggy,2.288888889,0.88,4.4114
Foggy,1.238888889,0.92,11.0285
Foggy,1.244444444,0.96,11.0607
Foggy,1.827777778,0.96,13.2986
Foggy,2.822222222,0.96,11.4954
Foggy,-4.977777778,0.88,6.2951
Overcast,-3.6,0.87,9.7405
Foggy,-4.977777778,0.89,6.44
Foggy,-4.955555556,0.89,6.2951
Foggy,-4.811111111,0.93,6.5527
Overcast,-4.905555556,0.92,4.7656
Foggy,-3.866666667,0.84,7.6314
Foggy,-3.872222222,0.86,4.1377
Foggy,-3.888888889,0.85,3.2039
Foggy,-3.866666667,0.92,3.1717
Foggy,-3.788888889,0.92,1.8676
Overcast,-3.794444444,0.92,7.5026
Overcast,-3.844444444,0.92,8.9516
Overcast,-2.761111111,0.86,10.5616
Overcast,-2.805555556,0.85,7.406
Overcast,-2.827777778,0.79,8.855
Overcast,-2.833333333,0.81,8.5008
Overcast,-2.827777778,0.79,8.05
Overcast,-2.827777778,0.79,2.7853
Overcast,-2.827777778,0.79,1.5295
Overcast,-2.827777778,0.79,4.83
Overcast,-3.333333333,0.85,0
Overcast,-3.361111111,0.85,3.1717
Overcast,-3.333333333,0.85,3.22
Overcast,-3.333333333,0.85,3.0751
Foggy,-4.4,0.92,3.1234
Overcast,-3.844444444,0.92,3.0751
Overcast,-3.844444444,0.88,6.279
Overcast,-3.866666667,0.88,2.8497
Overcast,-3.866666667,0.84,1.4812
Overcast,-3.866666667,0.84,3.22
Overcast,-3.838888889,0.92,3.6386
Foggy,-3.866666667,0.92,2.7048
Foggy,-3.866666667,0.92,2.9946
Foggy,-3.838888889,0.92,1.3685
Foggy,-3.866666667,0.84,4.6046
Overcast,-3.866666667,0.85,1.4651
Foggy,-3.838888889,0.86,1.5617
Foggy,-3.866666667,0.85,0.1932
Foggy,-3.866666667,0.85,2.898
Foggy,-3.838888889,0.86,2.737
Foggy,-3.888888889,0.85,0
Foggy,-3.938888889,0.92,0.4025
Foggy,-3.977777778,0.93,2.7692
Foggy,-3.938888889,0.92,0.1288
Foggy,-3.961111111,0.89,2.9946
Foggy,-4.433333333,0.93,3.22
Foggy,-4.466666667,0.92,3.2039
Foggy,-4.466666667,0.88,3.3649
Foggy,-4.955555556,0.93,5.5867
Foggy,-4.488888889,0.88,3.1878
Foggy,-5,0.92,6.2951
Foggy,-4.977777778,0.93,4.2504
Foggy,-5.072222222,0.92,2.9624
Foggy,-5.072222222,0.92,2.7692
Foggy,-4.994444444,0.93,2.4311
Foggy,-5.05,0.85,3.0751
Foggy,-5.05,0.85,3.3327
Foggy,-4.955555556,0.87,3.1878
Foggy,-5.027777778,0.85,4.9105
Foggy,-5.005555556,0.92,7.5026
Foggy,-4.888888889,0.93,0.9821
Foggy,-5.005555556,0.92,3.2844
Foggy,-5.005555556,0.92,1.7871
Foggy,-4.911111111,0.93,7.3416
Foggy,-5.027777778,0.85,7.7763
Overcast,-5.027777778,0.92,7.7602
Overcast,-4.911111111,0.86,7.6314
Overcast,-5.027777778,0.92,7.889
Overcast,-5.027777778,0.89,3.2039
Overcast,-4.944444444,0.9,3.3327
Foggy,-5.05,0.92,6.1663
Foggy,-5.027777778,0.92,3.1073
Overcast,-4.038888889,0.93,5.2808
